Event Category, Event Name, Team Name, Participants, Start Time, End Time, Performance Time
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:20:14 pm, 11 Oct - 7:20:17 pm,00:03
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:24:58 pm, 11 Oct - 7:25:03 pm,00:04
dance,Bhangra (Boys),YF-1, ,11 Oct - 7:25:09 pm, 11 Oct - 7:25:18 pm,00:09
dance,Bhangra (Boys),YF-1, ,12 Oct - 8:06:45 pm, 12 Oct - 8:08:49 pm,02:04
dance,Giddha,YF-1, ,12 Oct - 8:15:19 pm, 12 Oct - 8:15:21 pm,00:02
music,Classical Inst. (Percussion),YF-1, ,12 Oct - 8:17:17 pm, 12 Oct - 8:17:19 pm,00:02
music,Classical Inst. (Percussion),YF-1, ,13 Oct - 6:49:24 pm, 13 Oct - 6:49:26 pm,00:02
dance,Bhangra (Boys),YF-1, ,13 Oct - 6:50:01 pm, 13 Oct - 6:50:08 pm,00:06
dance,Bhangra (Boys),YF-1, ,13 Oct - 6:50:17 pm, 13 Oct - 6:50:18 pm,00:01
dance,Bhangra (Boys),YF-1, ,13 Oct - 6:51:01 pm, 13 Oct - 6:51:04 pm,00:03
dance,Bhangra (Boys),YF-1, ,13 Oct - 6:51:49 pm, 13 Oct - 6:52:22 pm,00:32
dance,Bhangra (Boys),YF-1, ,13 Oct - 6:53:08 pm, 13 Oct - 6:53:40 pm,00:31
dance,Giddha,YF-1, ,14 Oct - 9:17:06 pm, 14 Oct - 9:17:09 pm,00:02
dance,Bhangra (Boys),YF-1, ,15 Oct - 12:56:33 pm, 15 Oct - 12:56:38 pm,00:05
dance,Bhangra (Boys),YF-2, ,15 Oct - 12:57:15 pm, 15 Oct - 12:57:17 pm,00:01
dance,Bhangra (Boys),YF-3, ,15 Oct - 12:57:25 pm, 15 Oct - 12:57:28 pm,00:02
dance,Bhangra (Boys),YF-4, ,15 Oct - 12:57:47 pm, 15 Oct - 12:57:49 pm,00:02
dance,Bhangra (Boys),YF-1, ,15 Oct - 12:58:20 pm, 15 Oct - 1:10:21 pm,08:37
dance,Bhangra (Boys),YF-1, ,15 Oct - 8:31:39 pm, 15 Oct - 8:31:41 pm,00:02
dance,Giddha,YF-1, ,15 Oct - 8:32:14 pm, 15 Oct - 8:32:17 pm,00:03
dance,Giddha,YF-1, ,15 Oct - 8:33:30 pm, 15 Oct - 8:33:32 pm,00:01
music,Classical Inst. (Percussion),YF-1, ,16 Oct - 9:20:38 pm, 16 Oct - 9:20:44 pm,00:05
music,Classical Inst. (Percussion),YF-1, ,16 Oct - 9:21:10 pm, 16 Oct - 9:23:17 pm,02:06
dance,Giddha,YF-1, ,16 Oct - 10:11:03 pm, 16 Oct - 10:11:05 pm,00:01
dance,Giddha,YF-1, ,17 Oct - 8:53:16 am, 17 Oct - 8:53:18 am,00:02
music,Classical Inst. (Percussion),YF-1, ,17 Oct - 9:24:53 am, 17 Oct - 9:25:04 am,00:11
music,Classical Inst. (Percussion),YF-1, ,17 Oct - 9:25:19 am, 17 Oct - 9:27:40 am,02:20
